actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title
Matt Bomer,Channing Tatum,Kevin Nash,Gregory Jacobs,Comedy|Drama|Music,magic mike xxl
Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Baz Luhrmann,Drama|Romance,romeo + juliet
Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Gilles Paquet-Brenner,Drama|War,sarah's key
Sharon Leal,David Rasche,Bart Shatto,Peter Cousens,Drama|Family|Music,freedom
Clint Eastwood,Morgan Freeman,Frances Fisher,Clint Eastwood,Drama|Western,unforgiven
Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Lars von Trier,Drama,manderlay
Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Danny Boyle,Drama|Romance,slumdog millionaire
Fred Gwynne,Lois Smith,Anne Archer,Adrian Lyne,Drama|Romance|Thriller,fatal attraction
Julia Roberts,Hector Elizondo,Jason Alexander,Garry Marshall,Comedy|Romance,pretty woman
Martin Short,Andrea Martin,Joe Flaherty,John Blanchard,Comedy,towering inferno            
Paul Hogan,Linda Kozlowski,John Meillon,John Cornell,Action|Adventure|Comedy,crocodile dundee ii
María Valverde,Chris Marquette,Chad Bishop,Vidhu Vinod Chopra,Action|Crime|Drama|Mystery|Thriller,broken horses
Tom Cruise,Tom Berenger,Stephen Baldwin,Oliver Stone,Biography|Drama|War,born on the fourth of july
Doug E. Doug,Leon,Malik Yoba,Jon Turteltaub,Adventure|Comedy|Family|Sport,cool runnings
Jensen Ackles,Jaime King,Edi Gathegi,Patrick Lussier,Horror|Thriller,my bloody valentine
Kyra Sedgwick,Madison Davenport,Natasha Calis,Ole Bornedal,Horror|Thriller,the possession
Sylvester Stallone,Brian Dennehy,Chris Mulkey,Ted Kotcheff,Action|Adventure|Drama,first blood
Chris Brown,Laz Alonso,Harry Lennix,Sylvain White,Drama|Music|Romance,stomp the yard
Caroline Munro,Desmond Llewelyn,Barbara Bach,Lewis Gilbert,Action|Adventure|Sci-Fi|Thriller,the spy who loved me
Amy Bruni,Steve Gonsalves,Jason Hawes,unknown,Documentary,ghost hunters            
Alicia Witt,Loretta Devine,Julian Richings,Jamie Blanks,Horror|Mystery|Thriller,urban legend
Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Stephen Frears,Drama|Romance,dangerous liaisons
Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Tyler Perry,Comedy|Drama|Romance,good deeds
Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Randal Kleiser,Adventure|Drama,white fang
Will Ferrell,Elaine Hendrix,Molly Shannon,Bruce McCulloch,Comedy|Romance,superstar
Meryl Streep,Jim Broadbent,Olivia Colman,Phyllida Lloyd,Biography|Drama|History,the iron lady
Phil Vischer,Mike Nawrocki,Shelby Vischer,Mike Nawrocki,Adventure|Animation|Comedy|Drama|Family|Musical,jonah: a veggietales movie
Janet Jackson,Khandi Alexander,Maya Angelou,John Singleton,Drama|Romance,poetic justice
Mike Epps,Roger Guenveur Smith,Gino Salvano,Kevin Bray,Action|Comedy|Crime|Thriller,all about the benjamins
John Witherspoon,W. Earl Brown,Allen Payne,Wes Craven,Comedy|Fantasy|Horror|Romance,vampire in brooklyn
Linda Blair,Richard Burton,Ned Beatty,John Boorman,Horror,exorcist ii: the heretic
Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Courtney Solomon,Horror|Mystery|Thriller,an american haunting
Carmen Electra,Tyler Labine,Molly Shannon,David Zucker,Comedy|Romance,my boss's daughter
Chris Hemsworth,Milla Jovovich,Marley Shelton,David Twohy,Adventure|Mystery|Thriller,a perfect getaway
America Ferrera,Lance Gross,Lupe Ontiveros,Rick Famuyiwa,Comedy|Romance,our family wedding
Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Alan Cohn,Comedy,dead man on campus
Lily Tomlin,Joan Plowright,Paolo Seganti,Franco Zeffirelli,Comedy|Drama|War,tea with mussolini
Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Tom Holland,Fantasy|Horror,thinner
Robert De Niro,Liza Minnelli,Mary Kay Place,Martin Scorsese,Drama|Music|Musical|Romance,"new york, new york"
Alfre Woodard,Delroy Lindo,Isaiah Washington,Spike Lee,Comedy|Drama,crooklyn
Steve Buscemi,Eliza Coupe,Wendell Pierce,Chris Rock,Comedy|Drama|Romance,i think i love my wife
Peter Mensah,Kane Hodder,Lexa Doig,James Isaac,Action|Horror|Sci-Fi|Thriller,jason x
Frankie Muniz,Donald Faison,Lee Majors,Shawn Levy,Adventure|Comedy|Family,big fat liar
Anthony Hopkins,Nick Cannon,Brian Geraghty,Emilio Estevez,Drama|History,bobby
Monica Potter,Ivana Milicevic,China Chow,Mark Waters,Comedy|Mystery|Romance,head over heels
Thomas McDonell,Jackson Nicoll,Osric Chau,Josh Schwartz,Adventure|Comedy,fun size
Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Julian Schnabel,Biography|Drama,the diving bell and the butterfly
Kate Winslet,Noah Emmerich,Jane Adams,Todd Field,Drama|Romance,little children
Norman Reedus,Sharon Lawrence,Noam Jenkins,Davis Guggenheim,Drama|Mystery|Thriller,gossip
Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Tony Goldwyn,Drama,a walk on the moon
Derek Luke,Terry Pheto,Bonnie Henna,Phillip Noyce,Biography|Drama|History,catch a fire
Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Stephen Carpenter,Drama|Horror|Mystery|Thriller,soul survivors
Seth Gilliam,Todd Boyce,Nigel Whitmey,James Ivory,Biography|Drama|History|Romance,jefferson in paris
Colin Firth,Kristin Scott Thomas,Kris Marshall,Stephan Elliott,Comedy|Romance,easy virtue
Christopher Lee,Joseph Cotten,Behrouz Vossoughi,James Fargo,Action|Adventure|History,caravans
Lesley Manville,Ruth Sheen,Karl Johnson,Mike Leigh,Biography|Drama|History,mr. turner
Mathieu Amalric,Sara Forestier,Edouard Baer,Alain Resnais,Drama|Romance,wild grass
Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Costa-Gavras,Biography|Crime|Drama|War,amen.
Woo-sung Jung,Shawn Yue,Kelly Lin,Chao-Bin Su,Action,reign of assassins
John Heard,Katherine LaNasa,Mark L. Young,Neil Burger,Comedy|Drama|War,the lucky ones
Matt Damon,Kieran Culkin,John Gallagher Jr.,Kenneth Lonergan,Drama,margaret
Steve Howey,Kenan Thompson,Diora Baird,Bo Zenga,Comedy|Horror,stan helsing
Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Rob Reiner,Comedy|Drama|Romance,flipped
Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Ang Lee,Drama|Romance,brokeback mountain
Noel Fisher,Danny Woodburn,Jeremy Howard,Jonathan Liebesman,Action|Adventure|Comedy|Sci-Fi,teenage mutant ninja turtles
Donald Faison,Dan Hedaya,Elisa Donovan,Amy Heckerling,Comedy|Romance,clueless
Dennis Quaid,Celia Weston,Michael Gaston,Todd Haynes,Drama|Romance,far from heaven
Adam Scott,Gillian Jacobs,Collette Wolfe,Steve Pink,Comedy|Sci-Fi,hot tub time machine 2
Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,unknown,Drama,dekalog            
Kate Winslet,Stephen Marcus,Amelia Warner,Philip Kaufman,Biography|Drama,quills
Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Martin McDonagh,Comedy|Crime,seven psychopaths
Colm Feore,Tamara Tunie,Aunjanue Ellis,Kasi Lemmons,Crime|Drama|Music|Mystery|Thriller,the caveman's valentine
Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,unknown,Action|Crime|Drama|Thriller,the border            
Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Oliver Hirschbiegel,Biography|Drama|History|War,downfall
Belén Rueda,Lola Dueñas,Tamar Novas,Alejandro Amenábar,Biography|Drama|Romance,the sea inside
Scarlett Johansson,Paul Brannigan,Alison Chand,Jonathan Glazer,Drama|Horror|Sci-Fi|Thriller,under the skin
Robin Williams,J.T. Walsh,Bruno Kirby,Barry Levinson,Biography|Comedy|Drama|War,"good morning, vietnam"
Jason Mewes,Stephanie Danielson,Michael Rispoli,Hyung-rae Shim,Comedy,the last godfather
Usher Raymond,Sean Kingston,Boys II Men,Jon M. Chu,Documentary|Music,justin bieber: never say never
Natalie Portman,Mila Kunis,Mark Margolis,Darren Aronofsky,Drama|Thriller,black swan
Gary Oldman,Abbie Cornish,Jennifer Ehle,José Padilha,Action|Crime|Sci-Fi|Thriller,robocop
Robert De Niro,Al Pacino,Robert Duvall,Francis Ford Coppola,Crime|Drama,the godfather: part ii
Sean Patrick Thomas,Terry Kinney,Fredro Starr,Thomas Carter,Drama|Music|Romance,save the last dance
Tuesday Knight,Rodney Eastman,Brooke Bundy,Renny Harlin,Fantasy|Horror|Thriller,a nightmare on elm street 4: the dream master
Jennifer Garner,Brighton Sharbino,Martin Henderson,Patricia Riggen,Drama,miracles from heaven
Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Danny Leiner,Comedy|Mystery,"dude, where's my car?"
Jack Palance,Patrick Wayne,Brian Keith,Christopher Cain,Action|Crime|Drama|Thriller|Western,young guns
Bill Murray,Naomi Watts,Reg E. Cathey,Theodore Melfi,Comedy|Drama,st. vincent
Joe Lo Truglio,Regina Hall,Bryan Callen,Steve Pink,Comedy|Romance,about last night
Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Gil Junger,Comedy|Drama|Romance,10 things i hate about you
Zooey Deschanel,Eddie Griffin,Gene Simmons,Ed Decter,Comedy,the new guy
Jon Lovitz,Lin Shaye,Bill Nunn,Gene Quintano,Action|Comedy|Crime,loaded weapon 1
Óscar Jaenada,Brett Cullen,Sedona Legge,Jaume Collet-Serra,Drama|Horror|Thriller,the shallows
Logan Lerman,Eric Stoltz,Cameron Bright,Eric Bress,Sci-Fi|Thriller,the butterfly effect
Chris Elliott,Mark Webber,Jean Smart,Chris Koch,Adventure|Comedy|Family,snow day
Mekhi Phifer,Chris Brown,Loretta Devine,Preston A. Whitmore II,Comedy|Drama|Romance,this christmas
Kathleen Turner,Dom DeLuise,Ruby Dee,Bob Clark,Comedy|Crime|Family|Sci-Fi,baby geniuses
Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Kirk Wong,Action|Comedy|Crime|Thriller,the big hit
Gregory Smith,Eartha Kitt,Charlotte Sullivan,Bronwen Hughes,Comedy|Drama|Family,harriet the spy
Jenny Agutter,Beth Grant,Greg Germann,John Lafia,Fantasy|Horror,child's play 2
Leslie Bibb,Kate del Castillo,Henry Simmons,Sam Miller,Crime|Thriller,no good deed
Toby Jones,Alexa Davalos,Jeffrey DeMunn,Frank Darabont,Horror,the mist
Elina Alminas,Sonoya Mizuno,Corey Johnson,Alex Garland,Drama|Mystery|Sci-Fi|Thriller,ex machina
Willie Garson,Orson Bean,Mary Kay Place,Spike Jonze,Comedy|Drama|Fantasy,being john malkovich
Mo'Nique,Vivica A. Fox,Tamala Jones,Mark Brown,Comedy|Romance,two can play that game
Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Dave Green,Adventure|Family|Sci-Fi,earth to echo
Kirsten Dunst,Jay Hernandez,Rolando Molina,John Stockwell,Drama|Romance,crazy/beautiful
Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Clint Eastwood,Drama|History|War,letters from iwo jima
J.K. Simmons,Virginia Madsen,Bruce Dern,Michael Polish,Adventure|Drama|Sci-Fi,the astronaut farmer
LL Cool J,Jada Pinkett Smith,Dave Chappelle,Daisy von Scherler Mayer,Comedy|Romance,woo
Joan Allen,Jacob Tremblay,Cas Anvar,Lenny Abrahamson,Drama,room
Don Rickles,Jack Warden,Traylor Howard,Bob Saget,Comedy,dirty work
Kathleen Turner,Sam Waterston,Traci Lords,John Waters,Comedy|Crime|Thriller,serial mom
Ryan Reynolds,Will Ferrell,Kirsten Dunst,Andrew Fleming,Comedy,dick
Michael Nyqvist,David Dencik,Lena Endre,Niels Arden Oplev,Action|Crime|Mystery|Thriller,del 1 - män som hatar kvinnor            
Rosario Dawson,Vanessa Williams,Robert Ri'chard,Craig Bolotin,Drama|Thriller,light it up
Salma Hayek,Ellen Albertini Dow,Sela Ward,Mark Christopher,Drama|Music,54
Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Blair Hayes,Adventure|Comedy|Romance|Sci-Fi,bubble boy
Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Jez Butterworth,Comedy|Crime|Thriller,birthday girl
Justin Chon,Josie Loren,Sarah Wright,Jon Lucas,Comedy,21 & over
Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Olivier Assayas,Comedy|Drama|Romance,"paris, je t'aime"
Harry Lennix,Kathryn Morris,Peter Coyote,Rod Lurie,Drama|Sport,resurrecting the champ
Tina Fey,Sarita Choudhury,Christopher Evan Welch,Paul Weitz,Comedy|Drama|Romance,admission
Emir Kusturica,Daniel Auteuil,Yves Jacques,Patrice Leconte,Drama|Romance,the widow of saint-pierre
Liam Neeson,Meghan Heffern,Natalie Lisinska,Atom Egoyan,Drama|Mystery|Romance|Thriller,chloe
Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Paul Mazursky,Comedy|Crime|Drama,faithful
Natalie Portman,Jake Gyllenhaal,Ethan Suplee,Jim Sheridan,Drama|Thriller,brothers
Peter Dinklage,Vin Diesel,Alex Rocco,Sidney Lumet,Biography|Comedy|Crime|Drama,find me guilty
Logan Lerman,Ezra Miller,Kate Walsh,Stephen Chbosky,Drama|Romance,the perks of being a wallflower
Burt Young,Ian Gomez,Thomas Ian Griffith,Jon Hess,Action,excessive force
Toby Jones,Isabella Rossellini,Hope Davis,Douglas McGrath,Biography|Crime|Drama,infamous
Milla Jovovich,Sarah Polley,Shirley Henderson,Michael Winterbottom,Drama|Romance|Western,the claim
Djimon Hounsou,Alison Lohman,Dougray Scott,Mark Neveldine,Horror|Thriller,the vatican tapes
John Boyega,Luke Treadaway,Jodie Whittaker,Joe Cornish,Action|Comedy|Sci-Fi|Thriller,attack the block
Jelena Jovanova,Nikola Djuricko,Branko Djuric,Angelina Jolie Pitt,Drama|Romance|War,in the land of blood and honey
Michael Imperioli,Tara Platt,Roma Maffia,Brad Anderson,Crime|Thriller,the call
Liam Neeson,Dean Dawson,Jung-jae Lee,John H. Lee,Action|Drama|History|War,operation chromite
Steve Irwin,Aden Young,Steve Bastoni,John Stainton,Action|Adventure|Comedy|Family,the crocodile hunter: collision course
Dameon Clarke,Louis Herthum,Annie Golden,Glenn Ficarra,Biography|Comedy|Crime|Drama|Romance,i love you phillip morris
Rae Dawn Chong,Everett McGill,Gary Schwartz,Jean-Jacques Annaud,Adventure|Drama|History,quest for fire
Denzel Washington,Kevin Connolly,Derek Luke,Denzel Washington,Biography|Drama,antwone fisher
Gabriel Millman,Embeth Davidtz,Rob Morrow,Michael Hoffman,Drama,the emperor's club
Brad Pitt,Gary Oldman,Michael Rapaport,Tony Scott,Action|Crime|Drama|Romance|Thriller,true romance
Eva Green,Matt Smith,Hannah Murray,Benedek Fliegauf,Drama|Romance|Sci-Fi,womb
Kevin Spacey,Al Pacino,Jude Ciccolella,James Foley,Crime|Drama|Mystery,glengarry glen ross
Liam Aiken,Ned Beatty,Jay R. Ferguson,Michael Winterbottom,Crime|Drama|Thriller,the killer inside me
Ed Begley Jr.,Ruby Dee,John Heard,Paul Schrader,Fantasy|Horror|Thriller,cat people
Julian Morris,Margo Harshman,Rumer Willis,Stewart Hendler,Horror|Mystery,sorority row
David Niven,Mary Astor,Ronald Colman,John Cromwell,Adventure|Drama|Romance,the prisoner of zenda
Ryan Gosling,Kelli Garner,Paul Schneider,Craig Gillespie,Comedy|Drama|Romance,lars and the real girl
Richard Johnson,Sheila Hancock,Cara Horgan,Mark Herman,Drama|War,the boy in the striped pajamas
Catherine Deneuve,Udo Kier,Björk,Lars von Trier,Crime|Drama|Musical,dancer in the dark
Tom Wilkinson,Richard Roxburgh,Clive Russell,Gillian Armstrong,Drama|Romance,oscar and lucinda
Isabella Rossellini,Vincent Gallo,Gretchen Mol,Abel Ferrara,Crime|Drama,the funeral
Jenna Fischer,David Costabile,Richard Schiff,Brian Koppelman,Comedy|Drama|Romance,solitary man
Robert De Niro,Don Johnson,Cheech Marin,Ethan Maniquis,Action|Crime|Thriller,machete
Kevin Spacey,Eric Schweig,Christian Campbell,George Hickenlooper,Biography|Comedy|Crime|Drama,casino jack
Judith Barsi,Gabriel Damon,Bill Erwin,Don Bluth,Adventure|Animation|Family,the land before time
Min-sik Choi,Bin Won,Dong-gun Jang,Je-kyu Kang,Action|Drama|War,tae guk gi: the brotherhood of war
Clifton Collins Jr.,Cheech Marin,Bruce McGill,William Dear,Comedy|Drama|Family|Sport,the perfect game
Ellen Burstyn,Linda Blair,Lee J. Cobb,William Friedkin,Horror,the exorcist
Roy Scheider,Robert Shaw,Murray Hamilton,Steven Spielberg,Adventure|Drama|Thriller,jaws
Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Paul Weitz,Comedy,american pie
Mackenzie Foy,Megan Mullally,Lambert Wilson,Stéphane Aubier,Animation|Comedy|Crime|Drama|Family,ernest & celestine
Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Michael Ritchie,Action|Adventure|Comedy|Fantasy|Mystery,the golden child
Chris Brown,Romany Malco,Regina Hall,Tim Story,Comedy|Romance,think like a man
Sean Patrick Thomas,Jason George,Cedric the Entertainer,Tim Story,Comedy|Drama,barbershop
Leonard Nimoy,Kirstie Alley,Nichelle Nichols,Nicholas Meyer,Action|Adventure|Sci-Fi,star trek ii: the wrath of khan
Sean Young,Udo Kier,David Margulies,Tom Shadyac,Comedy,ace ventura: pet detective
Matthew Broderick,Barry Corbin,Ally Sheedy,John Badham,Sci-Fi|Thriller,wargames
Harrison Ford,Viggo Mortensen,Lukas Haas,Peter Weir,Crime|Drama|Romance|Thriller,witness
Alex Veadov,Jason Cottle,Rorke Denver,Mike McCoy,Action|Adventure|Drama|Thriller|War,act of valor
Channing Tatum,Alyson Stoner,Josh Henderson,Anne Fletcher,Crime|Drama|Music|Romance,step up
Bruce Willis,Demi Moore,John Doman,Mike Judge,Adventure|Animation|Comedy|Crime,beavis and butt-head do america
Robert De Niro,Sid Haig,Robert Forster,Quentin Tarantino,Crime|Thriller,jackie brown
Danneel Ackles,Eric Winter,Beverly D'Angelo,Jon Hurwitz,Adventure|Comedy,harold & kumar escape from guantanamo bay
Michael Kelly,Alex Russell,Ashley Hinshaw,Josh Trank,Drama|Sci-Fi|Thriller,chronicle
Miriam Margolyes,Amy Irving,Steven Hill,Barbra Streisand,Drama|Musical|Romance,yentl
Shelley Duvall,Michael Palin,Kenny Baker,Terry Gilliam,Adventure|Comedy|Fantasy|Sci-Fi,time bandits
Britney Spears,Katherine Boecher,Dave Allen,Tamra Davis,Comedy|Drama,crossroads
Dax Flame,Kirby Bliss Blanton,Oliver Cooper,Nima Nourizadeh,Comedy|Crime,project x
George C. Scott,Karl Malden,Bill Hickman,Franklin J. Schaffner,Biography|Drama|War,patton
Robin Williams,Gary Cole,Connie Nielsen,Mark Romanek,Drama|Thriller,one hour photo
Andrew Fiscella,Jay Hernandez,Dania Ramirez,John Erick Dowdle,Horror|Sci-Fi|Thriller,quarantine
Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,David Moreau,Horror|Mystery,the eye
Vanessa Williams,Shannon Elizabeth,Shad Moss,Christopher Erskin,Comedy,johnson family vacation
Hector Elizondo,Fred Willard,T.J. Thyne,Jesse Dylan,Comedy|Fantasy,how high
Steven Mackintosh,Jerry Nelson,Steve Whitmire,Brian Henson,Comedy|Drama|Family|Fantasy|Musical,the muppet christmas carol
Eva Green,Tobias Menzies,Ivana Milicevic,Martin Campbell,Action|Adventure|Thriller,casino royale
Salma Hayek,Roger Rees,Valeria Golino,Julie Taymor,Biography|Drama|Romance,frida
Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Dan Cutforth,Documentary|Music,katy perry: part of me
Shailene Woodley,Sam Trammell,Nat Wolff,Josh Boone,Drama|Romance,the fault in our stars
Matt Damon,Martin Landau,Gretchen Mol,John Dahl,Crime|Drama,rounders
Rosario Dawson,Romany Malco,J.B. Smoove,Chris Rock,Comedy|Romance,top five
Talia Shire,Richard Dysart,Robert Foxworth,John Frankenheimer,Horror|Sci-Fi,prophecy
Illeana Douglas,Kathryn Erbe,Lusia Strus,David Koepp,Horror|Mystery|Thriller,stir of echoes
Peter Mensah,Kelvin Taylor,Viva Bianca,unknown,Action|Adventure|Biography|Drama|History,spartacus: war of the damned            
Steve Coogan,Mare Winningham,Peter Hermann,Stephen Frears,Biography|Drama,philomena
Alicia Witt,Erika Christensen,Joan Allen,Mike Binder,Comedy|Drama,the upside of anger
Laurence Olivier,Anne Meara,Steve Guttenberg,Franklin J. Schaffner,Drama|Thriller,the boys from brazil
Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,Elizabeth Allen Rosenbaum,Comedy|Family|Fantasy|Romance,aquamarine
Nat Wolff,Cara Delevingne,Meg Crosbie,Jake Schreier,Drama|Mystery|Romance,paper towns
Michael Imperioli,Marsha Thomason,Bai Ling,Cheryl Dunye,Comedy,my baby's daddy
Devin Ratray,Bruce Dern,Will Forte,Alexander Payne,Adventure|Comedy|Drama,nebraska
CCH Pounder,Jada Pinkett Smith,Gary Farmer,Ernest R. Dickerson,Action|Fantasy|Horror|Thriller,tales from the crypt: demon knight
Noel Fisher,Amber Valletta,Larry Miller,Tim Hill,Comedy|Crime|Family,max keeble's big move
Charlize Theron,Patton Oswalt,Collette Wolfe,Jason Reitman,Comedy|Drama,young adult
Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Mark Neveldine,Action|Crime|Thriller,crank
Bernie Mac,Gilbert Gottfried,Lark Voorhies,Lionel C. Martin,Comedy,how to be a player
Holly Hunter,Eddie Cibrian,Jenette Goldstein,Richard LaGravenese,Comedy|Drama|Romance,living out loud
Common,Laz Alonso,Mehcad Brooks,Sanaa Hamri,Comedy|Romance|Sport,just wright
Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Jonathan Demme,Drama|Romance,rachel getting married
Anjelica Huston,Michael Lerner,John Colicos,Bob Rafelson,Crime|Drama|Romance|Thriller,the postman always rings twice
Scarlett Johansson,Colin Firth,Tom Wilkinson,Peter Webber,Biography|Drama|Romance,girl with a pearl earring
Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,Wolfgang Petersen,Adventure|Drama|Thriller|War,das boot
Dennis Quaid,Marc Blucas,Jordi Mollà,John Lee Hancock,Drama|History|War|Western,the alamo
Heather Matarazzo,Barry Watson,Harland Williams,Wallace Wolodarsky,Comedy,sorority boys
Tom Hughes,Tom Hollander,Lindsay Duncan,Richard Curtis,Drama|Fantasy|Romance,about time
Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,Yimou Zhang,Action|Adventure|Drama|Romance,house of flying daggers
Nate Parker,Curtiss Cook,Reg E. Cathey,Nicholas Jarecki,Drama|Thriller,arbitrage
Gary Weeks,Jonny Weston,Sofia Black-D'Elia,Dean Israelite,Sci-Fi|Thriller,project almanac
Cedric the Entertainer,Veronika Dash,Tammy Blanchard,Darnell Martin,Biography|Drama|Music,cadillac records
Sarah Silverman,Dave Chappelle,Sherman Hemsley,Scott Alexander,Comedy|Crime,screwed
Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,Stuart Gordon,Action|Crime|Sci-Fi|Thriller,fortress
John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,Christopher Guest,Comedy,for your consideration
Melanie Griffith,Aleksa Palladino,Greg Mottola,Woody Allen,Comedy|Drama,celebrity
Jill Clayburgh,Joseph Cross,Dagmara Dominczyk,Ryan Murphy,Comedy|Drama,running with scissors
Anika Noni Rose,Kelly Clarkson,Brian Dietzen,Robert Iscove,Comedy|Musical|Romance,from justin to kelly
Michael Imperioli,Debi Mazar,Gretchen Mol,Spike Lee,Comedy|Drama,girl 6
Jennifer Jason Leigh,Nick Damici,Susan Gardner,Jane Campion,Mystery|Thriller,in the cut
Isabella Rossellini,Vinessa Shaw,Samantha Ivers,James Gray,Drama|Romance,two lovers
Bob Hoskins,Ray Winstone,JJ Feild,Fred Schepisi,Drama,last orders
Doona Bae,Kang-ho Song,Ah-sung Ko,Joon-ho Bong,Comedy|Drama|Horror|Sci-Fi,the host
Robert Duvall,Treat Williams,Paul Gleason,Roger Spottiswoode,Adventure|Crime|Thriller,the pursuit of d.b. cooper
Jeremy Davies,Jeffrey Jones,David Arquette,Antonia Bird,Fantasy|Horror|Thriller,ravenous
Robert Downey Jr.,Megan Park,Hope Davis,Jon Poll,Comedy|Drama|Romance,charlie bartlett
Toni Servillo,Sabrina Ferilli,Serena Grandi,Paolo Sorrentino,Drama,the great beauty
Kieran Culkin,Michael Harding,Jake Richardson,Peter Care,Comedy|Drama,the dangerous lives of altar boys
Mia Wasikowska,Alden Ehrenreich,Harmony Korine,Chan-wook Park,Drama|Thriller,stoker
Li Gong,Tony Chiu Wai Leung,Maggie Cheung,Kar-Wai Wong,Drama|Romance|Sci-Fi,2046
David Richmond-Peck,Erin Boyes,Timothy Webber,Ira Sachs,Crime|Drama|Romance,married life
Eamonn Walker,Hope Davis,Campbell Scott,Carroll Ballard,Adventure|Drama|Family,duma
Tony Curran,Stephen Rea,Alicja Bachleda,Neil Jordan,Drama|Mystery|Romance,ondine
Omar Epps,Tatyana Ali,James Shigeta,Takeshi Kitano,Crime|Drama|Thriller,brother
Michael Jeter,Isaiah Washington,Andy Davoli,Anthony Russo,Comedy|Crime,welcome to collinwood
Kyra Sedgwick,Anne Bancroft,Albert Brooks,Sidney Lumet,Comedy|Drama,critical care
Eva Amurri Martino,Lynn Cohen,Brett Cullen,Vadim Perelman,Drama|Mystery|Thriller,the life before her eyes
Dianne Wiest,Mark Duplass,Sam Shepard,Lawrence Kasdan,Comedy|Drama|Romance,darling companion
Zack Ward,Kate del Castillo,Alicja Bachleda,Marco Kreuzpaintner,Crime|Drama|Thriller,trade
Marcell Nagy,Péter Fancsikai,Bálint Péntek,Lajos Koltai,Drama|Romance|War,fateless
Bruce Willis,Albert Finney,Omar Epps,Alan Rudolph,Comedy,breakfast of champions
Honglei Sun,Ni Yan,Dahong Ni,Yimou Zhang,Comedy|Drama,"a woman, a gun and a noodle shop"
David Hewlett,Jeremy Northam,Kari Matchett,Vincenzo Natali,Mystery|Romance|Sci-Fi|Thriller,cypher
Ye Liu,Yuanyuan Gao,Ryu Kohata,Chuan Lu,Drama|History|War,city of life and death
Jim Parsons,Matt Jones,April Winchell,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,home
Jon Heder,Tom Arnold,Rebecca Black,Lijun Sun,Action|Adventure|Animation|Comedy|Family,legend of kung fu rabbit
Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,Takashi Yamazaki,Action|Adventure|Drama|Sci-Fi,space battleship yamato
Richard Coyle,Kenneth Cranham,Ana Imnadze,Renny Harlin,Action|Drama|War,5 days of war
Rachael Carpani,Michael Dorman,Emma Lung,Christopher Smith,Fantasy|Mystery|Thriller,triangle
Christopher Lambert,Kelly LeBrock,Alexandra Callas,Timothy Hines,Drama,10 days in a madhouse
Jacob Vargas,Connor Corum,Rob Moran,Randall Wallace,Biography|Drama,heaven is for real
Jason Statham,Brad Pitt,Jason Flemyng,Guy Ritchie,Comedy|Crime,snatch
Gary Daniels,Matt Marr,Ginger Jensen,David Winters,Family|Musical,dancin' it's on
Miko Hughes,Fred Gwynne,Denise Crosby,Mary Lambert,Fantasy|Horror,pet sematary
